bin_id,var_x,var_y,cov_xy
261,143902077.3280583,122228507.5251925,-87074175.28203277
262,148811415.3555671,107370371.38649812,-62247697.70290647
263,151610353.7383673,107772590.06585166,-60785846.58523672
264,153293393.44030702,102386264.63297074,-71111989.43611734
265,152399747.82107547,102499797.51508468,-42406453.090931475
266,177702470.83816174,133381674.22714569,-69922518.56087348
267,146572234.16745064,111212426.40457997,-82570533.92338973
268,164595388.62749302,100998019.66237509,-67178819.00018834
269,180342006.09527218,111171375.87150654,-69078289.2799026
270,156204720.27065668,147049306.43950596,-54404617.59566763
271,161138099.99993375,107313593.30628793,-82842552.3610626
272,159400036.48447812,103107173.87706454,-44538847.32089119
273,156051112.6884304,105175202.67582586,-41669543.736673616
274,166750251.40600285,100280951.50317973,-39341565.88894596
275,144834712.2741671,85445646.93802062,-68150741.97783259
276,162332200.82383978,84908641.33571799,-51059691.756459914
277,147314925.29037362,78847431.00502726,-49323522.69477572
278,166184678.81855068,94837929.75431605,-68305195.49662687
279,159823078.83582404,98539484.62686342,-38605627.704169825
280,151011618.1684125,97467055.1927079,-58257866.55613021
281,172827229.25994357,121881522.13161813,-55812870.1962666
282,157421121.93874606,84002459.47250035,-66603735.17548007
283,182114134.32185876,73543207.32866952,-54655874.58931803
284,162420882.01222143,85128105.32320872,-45054864.157530345
285,151215953.65692237,78472695.70726599,-47612488.54792104
286,166468316.39557353,89767444.33692858,-82409796.22068603
287,165543333.96028915,86667261.08063067,-62362696.82612593
288,184973076.47373945,106461520.20748691,-71913163.5184549
289,160558013.5550496,97326487.55549684,-67843649.18289563
290,187283000.12928817,113031347.13956214,-54787480.70688454
291,191074762.5298652,115153735.58937761,-45016690.45773982
292,164500177.34880024,83922427.91882466,-82638916.3293539
293,151056373.69868073,110284734.3594756,-60873148.27709723
294,145889165.1018552,101386855.29697274,-51885780.07913291
295,154987721.48904043,92559307.51300247,-52414063.00069615
296,164070116.30919057,86395865.94055195,-82461437.20890428
297,183533083.99535152,128239159.37215051,-82141092.21369609
298,183818674.51084515,121368796.73731801,-83904241.27293603
299,150764348.65881994,98805966.36507985,-54809942.84837385
300,177680779.85423705,79187778.46902949,-59660262.421089746
301,176539866.34385204,134909238.7631491,-87263059.78487857
302,141306471.26824144,81608447.60827237,-42359148.64319296
303,152363410.20987082,77762461.64917374,-57280097.869020864
304,129053096.64425074,71263893.92969798,-52561272.47220366
305,139695512.39822197,83956529.8396732,-56186081.69158695
306,141402705.09392536,72270496.55604152,-63199273.79466319
307,122781818.40932201,91825817.42234485,-66787558.32690695
308,144199005.35926536,106056707.6249484,-77261792.29925334
309,170162404.53309724,93674384.18265936,-46609023.53135207
310,147348879.1834587,109599984.13949476,-83316747.30593255
311,102133222.44206646,67749303.03759326,-42291916.30962073
312,116231361.38288544,88272460.83490928,-57178235.73514069
313,109678801.01073216,89704529.16937126,-66670387.762353435
314,125832849.06388643,86305039.8366039,-64573278.940932244
315,111679659.99614285,73041996.5358028,-61962089.838511504
316,155822112.80863267,99482700.04752794,-92980836.90804812
