bin_id,route_progress_center,route_progress_bin_center,latitude,longitude,verticalSpeed_ms,x_wrt0,y_wrt0,altitude_meters,speed_kmh,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep
1602,0.80125,0.80125,11.068036,123.8304255,-5.5,305111.93851374136,-382935.7856123052,4671.0,668.6,-15.0,-1.8000000000000682,0.0,0.0,-0.34161931818181884,452.7121883134533
1603,0.80175,0.80175,11.057831,123.829552,-4.9,305097.9025980783,-383669.6175443063,4686.0,672.3,-15.0,-1.8000000000000682,0.0,0.0,-0.2387096774193541,461.1860172423237
1604,0.80225,0.80225,11.040429,123.8292505,-4.9,305268.6161697524,-384561.51328285947,4652.0,664.9,-15.0,-1.8000000000000682,0.0,0.0,-0.5302923387096752,453.4237261181055
1605,0.80275,0.80275,11.036316,123.828835,-4.9,305016.61037125625,-385235.13307891414,4656.0,666.7,-15.0,-1.7999999999999543,0.0,0.0,-0.2312499999999993,450.87589949150725
1606,0.80325,0.80325,11.033183000000001,123.82886099999999,-4.9,305123.060247498,-385453.01983863197,4621.5,664.9,-15.0,-1.8000000000000682,0.0,0.0,-0.31193181818181737,457.9567281513829
1607,0.80375,0.80375,11.019928,123.826279,-5.2,304778.6842459815,-387139.3488279136,4519.0,664.9,-16.0,-1.8999999999999773,0.0,0.0,-0.3939393939393939,491.5009941352383
1608,0.80425,0.80425,11.02069,123.826492,-5.2,304676.8064722304,-386802.7057225066,4515.0,666.7,-16.0,-1.8999999999999773,0.0,0.0,-0.341619318181818,492.28005768038986
1609,0.80475,0.80475,11.0115595,123.82488599999999,-5.2,304654.2873349533,-387989.60200891923,4465.0,653.8,-23.0,-1.8999999999999773,0.0,0.0,-0.336363636363637,493.9147851907296
1610,0.80525,0.80525,11.012583500000002,123.822765,-5.2,304501.4262705038,-388230.450552705,4442.0,657.5,-30.0,-1.8999999999999773,0.0,0.0,-0.18365591397849534,540.3177512323875
1611,0.80575,0.80575,11.008987,123.824486,-5.2,304453.12878019194,-388329.1361864126,4435.0,659.3,-23.0,-1.8999999999999773,0.0,0.0,-0.4193548387096774,519.0906357482633
1612,0.80625,0.80625,11.006882,123.821503,-5.2,304618.043862015,-388825.2886344146,4427.0,655.6,-30.0,-1.8500000000000227,0.0,0.0,-0.1866666666666674,808.4690797466664
1613,0.80675,0.80675,10.991216,123.822121,-5.5,304491.9601505627,-391846.6813545201,4404.0,657.5,-30.5,-1.900000000000034,0.0,0.0,-0.2740740740740732,1732.6242301346922
1614,0.80725,0.80725,10.9991415,123.8138235,-5.2,304398.4825788233,-389354.63281386625,4408.0,655.6,-23.0,-1.8999999999999773,0.0,0.0,-0.2937499999999982,480.4380097015219
1615,0.80775,0.80775,10.99102,123.811169,-5.5,304081.71864386665,-391242.892068852,4389.0,651.9,-31.0,-1.8999999999999773,0.0,0.0,-0.36403225806451495,1294.5291961221233
1616,0.80825,0.80825,10.984451,123.811867,-5.2,304197.25658916164,-392574.4531546486,4374.0,638.9,-23.0,-1.8999999999999773,0.0,0.0,-0.1749999999999971,547.1835189047081
1617,0.80875,0.80875,10.988584,123.81654,-5.2,304394.4954720974,-390435.3933961961,4359.0,647.25,-26.5,-1.8999999999999773,0.0,0.0,-0.2312500000000028,492.9612864188727
1618,0.80925,0.80925,10.972689,123.810333,-5.2,304105.51952486986,-393384.06453382864,4313.0,633.4,-38.0,-1.8999999999999773,0.0,0.0,-0.2787878787878801,1964.3579255270831
1619,0.80975,0.80975,10.976807,123.818085,-5.2,304396.52656420623,-393325.13114130526,4290.0,629.7,-30.0,-1.8999999999999773,0.0,0.0,-0.2787878787878767,1552.1971194681264
